
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,0
 190,0,0
 195,0,0
 200,0,0
 205,0,0
 210,0,1
 215,0,1
 220,0,1
 225,0,1
 230,0,1
 235,0,1
 240,0,1
 245,0,1
 250,0,1
 255,0,1
 260,0,1
 265,0,1
 270,0,1
 275,0,1
 280,0,1
 285,0,1
 290,0,1
 295,0,1
 300,0,1
 305,0,1
 310,0,1
 315,0,0
 320,0,0
 325,0,0
 330,0,0
 335,0,0
 340,0,0
 345,0,0
 350,0,0
 355,0,0
 360,0,0
 365,0,1
 370,0,1
 375,0,1
 380,0,1
 385,0,1
 390,0,1
 395,0,1
 400,0,1
 405,0,1
 410,0,1
 415,0,1
 420,0,1
 425,0,1
 430,0,1
 435,0,1
 440,0,1
 445,0,1
 450,0,1
 455,0,1
 460,0,1
 465,0,0
 470,0,0
 475,0,0
 480,0,1
 485,0,2
 490,0,2
 495,0,2
 500,0,2
 505,0,2
 510,0,3
 515,0,3
 520,0,3
 525,0,3
 530,0,3
 535,0,3
 540,0,3
 545,0,3
 550,0,3
 555,0,3
 560,0,3
 565,0,3
 570,0,4
 575,0,4
 580,0,4
 585,0,2
 590,0,2
 595,0,2
 600,0,2
 605,0,2
 610,0,2
 615,0,1
 620,0,1
 625,0,1
 630,0,1
 635,0,1
 640,0,1
 645,0,1
 650,0,1
 655,0,1
 660,0,1
 665,0,1
 670,0,0
 675,0,0
 680,0,0
 685,0,0
 690,0,0
 695,0,0
 700,0,0
 705,0,0
 710,0,0
 715,0,0
 720,0,1
 725,0,1
 730,0,1
 735,0,2
 740,0,2
 745,0,2
 750,0,3
 755,0,3
 760,0,3
 765,0,3
 770,0,4
 775,0,4
 780,0,4
 785,0,4
 790,0,4
 795,0,4
 800,0,4
 805,0,4
 810,0,4
 815,0,4
 820,0,4
 825,0,3
 830,0,3
 835,0,3
 840,0,3
 845,0,2
 850,0,2
 855,0,2
 860,0,2
 865,0,2
 870,0,1
 875,0,1
 880,0,1
 885,0,1
 890,0,1
 895,0,1
 900,0,1
 905,0,1
 910,0,1
 915,0,1
 920,0,1
 925,0,1
 930,0,1
 935,0,1
 940,0,1
 945,0,1
 950,0,1
 955,0,1
 960,0,0
 965,0,0
 970,0,0
 975,0,0
 980,0,1
 985,0,1
 990,0,2
 995,0,2
 1000,0,2
 1005,0,2
 1010,0,2
 1015,0,2
 1020,0,2
 1025,0,2
 1030,0,2
 1035,0,2
 1040,0,2
 1045,0,2
 1050,0,2
 1055,0,2
 1060,0,2
 1065,0,3
 1070,0,3
 1075,0,3
 1080,0,3
 1085,0,2
 1090,0,2
 1095,0,1
 1100,0,1
 1105,0,1
 1110,0,1
 1115,0,1
 1120,0,1
 1125,0,2
 1130,0,2
 1135,0,2
 1140,0,2
 1145,0,3
 1150,0,3
 1155,0,3
 1160,0,3
 1165,0,3
 1170,0,2
 1175,0,2
 1180,0,2
 1185,0,2
 1190,0,2
 1195,0,2
 1200,0,2
 1205,0,2
 1210,0,2
 1215,0,2
 1220,0,2
 1225,0,1
 1230,0,1
 1235,0,1
 1240,0,1
 1245,0,0
 1250,0,0
 1255,0,0
 1260,0,0
 1265,0,1
 1270,0,1
 1275,0,1
 1280,0,2
 1285,0,2
 1290,0,2
 1295,0,2
 1300,0,2
 1305,0,2
 1310,0,2
 1315,0,3
 1320,0,3
 1325,0,3
 1330,0,3
 1335,0,3
 1340,0,3
 1345,0,3
 1350,0,3
 1355,0,4
 1360,0,4
 1365,0,5
 1370,0,4
 1375,0,4
 1380,0,4
 1385,0,4
 1390,0,4
 1395,0,4
 1400,0,4
 1405,0,4
 1410,0,4
 1415,0,3
 1420,0,3
 1425,0,3
 1430,0,3
 1435,0,3
 1440,0,3
 1445,0,3
 1450,0,3
 1455,0,3
 1460,0,2
 1465,0,1
 1470,0,1
 1475,0,1
 1480,0,1
 1485,0,0
 1490,0,0
 1495,0,0
 1500,0,0
 1505,0,0
 1510,0,0
 1515,0,0
 1520,0,0
 1525,0,1
 1530,0,1
 1535,0,1
 1540,0,1
 1545,0,1
 1550,0,1
 1555,0,1
 1560,0,1
 1565,0,3
 1570,0,3
 1575,0,4
 1580,0,4
 1585,0,4
 1590,0,4
 1595,0,4
 1600,0,4
 1605,0,4
 1610,0,4
 1615,0,4
 1620,0,4
 1625,0,4
 1630,0,3
 1635,0,3
 1640,0,3
 1645,0,3
 1650,0,3
 1655,0,3
 1660,0,3
 1665,0,1
 1670,0,1
 1675,0,1
 1680,0,0
 1685,0,0
 1690,0,0
 1695,0,0
 1700,0,0
 1705,0,0
 1710,0,0
 1715,0,0
 1720,0,0
 1725,0,1
 1730,0,1
 1735,0,1
 1740,0,1
 1745,0,1
 1750,0,1
 1755,0,1
 1760,0,1
 1765,0,1
 1770,0,1
 1775,0,1
 1780,0,1
 1785,0,2
 1790,0,2
 1795,0,2
 1800,0,2
 1805,0,4
 1810,0,4
 1815,0,4
 1820,0,4
 1825,0,4
 1830,0,3
 1835,0,3
 1840,0,3
 1845,0,3
 1850,0,3
 1855,0,3
 1860,0,3
 1865,0,3
 1870,0,3
 1875,0,3
 1880,0,3
 1885,0,3
 1890,0,2
 1895,0,2
 1900,0,2
 1905,0,1
 1910,0,1
 1915,0,1
 1920,0,1
 1925,0,1
 1930,0,1
 1935,0,1
 1940,0,1
 1945,0,1
 1950,0,1
 1955,0,1
 1960,0,1
 1965,0,1
 1970,0,1
 1975,0,1
 1980,0,1
 1985,0,1
 1990,0,1
 1995,0,1
 2000,0,1
 2005,0,1
 2010,0,1
 2015,0,1
 2020,0,1
 2025,0,1
 2030,0,1
 2035,0,1
 2040,0,1
 2045,0,1
 2050,0,1
 2055,0,1
 2060,0,1
 2065,0,1
 2070,0,2
 2075,0,2
 2080,0,2
 2085,0,2
 2090,0,2
 2095,0,2
 2100,0,2
 2105,0,2
