Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Pri Packet Dropped due to Faulty Node, Low Pri Packet Dropped due to Faulty Node, S/R dead, S/R is state 2, max hop, bufferFull 
5,1,1,1,1,0,0,0,0,0,0,0,0
10,6,5,5,4,0,0,0,0,0,0,0,0
15,8,7,6,6,1,1,0,1,0,0,0,0
20,16,10,10,7,2,2,1,1,0,0,0,0
25,19,15,11,9,3,3,1,2,0,0,0,0
30,24,19,13,11,5,5,2,3,0,0,0,0
35,28,21,15,11,5,5,2,3,0,0,0,0
40,32,26,17,14,5,5,2,3,0,0,0,0
45,37,31,19,17,5,5,2,3,0,0,0,0
50,39,33,21,18,6,6,3,3,0,0,0,0
55,47,36,23,19,7,7,3,4,0,0,0,0
60,50,41,26,21,9,9,5,4,0,0,0,0
65,55,45,29,24,10,10,5,5,0,0,0,0
70,59,47,30,24,10,10,5,5,0,0,0,0
75,63,52,31,26,10,10,5,5,0,0,0,0
80,68,57,32,27,10,10,5,5,0,0,0,0
85,70,59,34,28,10,10,5,5,0,0,0,0
90,78,63,36,30,11,11,5,6,0,0,0,0
95,81,68,37,31,11,11,5,6,0,0,0,0
100,86,74,39,34,12,12,5,7,0,0,0,0
105,90,76,41,36,12,12,5,7,0,0,0,0
110,94,81,44,38,12,12,5,7,0,0,0,0
115,99,86,45,39,12,12,5,7,0,0,0,0
120,101,88,46,40,12,12,5,7,0,0,0,0
125,109,92,50,43,13,13,6,7,0,0,0,0
130,112,97,53,45,13,13,6,7,0,0,0,0
135,117,103,56,49,14,14,7,7,0,0,0,0
140,121,105,58,49,14,14,7,7,0,0,0,0
145,125,110,60,53,14,14,7,7,0,0,0,0
150,130,115,63,56,14,14,7,7,0,0,0,0
155,132,117,64,56,14,14,7,7,0,0,0,0
160,140,121,68,59,15,15,8,7,0,0,0,0
165,143,126,70,60,15,15,8,7,0,0,0,0
170,148,132,72,64,16,16,8,8,0,0,0,0
175,152,134,74,65,16,16,8,8,0,0,0,0
180,156,139,77,68,16,16,8,8,0,0,0,0
185,161,144,80,71,16,16,8,8,0,0,0,0
190,163,146,80,72,16,16,8,8,0,0,0,0
195,171,150,85,74,17,17,9,8,0,0,0,0
200,174,155,87,76,17,17,9,8,0,0,0,0
205,179,161,91,81,18,18,10,8,0,0,0,0
210,183,163,93,81,18,18,10,8,0,0,0,0
215,187,168,94,84,18,18,10,8,0,0,0,0
220,192,173,96,85,18,18,10,8,0,0,0,0
225,194,175,96,86,18,18,10,8,0,0,0,0
230,202,179,101,87,19,19,11,8,0,0,0,0
235,205,184,103,91,19,19,11,8,0,0,0,0
240,210,190,106,95,20,20,11,9,0,0,0,0
245,214,192,106,95,20,20,11,9,0,0,0,0
250,218,197,108,96,20,20,11,9,0,0,0,0
255,223,202,110,99,20,20,11,9,0,0,0,0
260,225,204,110,99,20,20,11,9,0,0,0,0
265,233,208,113,100,21,21,11,10,0,0,0,0
270,236,213,115,102,21,21,11,10,0,0,0,0
275,241,219,117,105,22,22,12,10,0,0,0,0
280,245,221,119,105,22,22,12,10,0,0,0,0
285,249,226,121,108,22,22,12,10,0,0,0,0
290,254,231,124,111,22,22,12,10,0,0,0,0
295,256,233,124,112,22,22,12,10,0,0,0,0
300,264,237,131,114,23,23,13,10,0,0,0,0
305,267,242,132,118,23,23,13,10,0,0,0,0
310,272,248,133,120,24,24,13,11,0,0,0,0
315,276,250,136,122,24,24,13,11,0,0,0,0
320,280,255,137,124,24,24,13,11,0,0,0,0
325,285,260,139,125,24,24,13,11,0,0,0,0
330,287,262,140,126,24,24,13,11,0,0,0,0
335,295,266,144,129,25,25,13,12,0,0,0,0
340,298,271,144,131,25,25,13,12,0,0,0,0
345,303,277,148,134,26,26,14,12,0,0,0,0
350,307,279,150,135,26,26,14,12,0,0,0,0
355,311,284,152,138,26,26,14,12,0,0,0,0
360,316,289,157,142,26,26,14,12,0,0,0,0
365,318,291,157,143,26,26,14,12,0,0,0,0
370,326,295,161,145,27,27,14,13,0,0,0,0
375,329,300,163,147,27,27,14,13,0,0,0,0
380,334,306,165,150,28,28,15,13,0,0,0,0
385,338,308,168,151,28,28,15,13,0,0,0,0
390,342,313,171,156,28,28,15,13,0,0,0,0
395,347,318,172,157,28,28,15,13,0,0,0,0
400,349,320,173,158,28,28,15,13,0,0,0,0
405,357,324,177,159,29,29,16,13,0,0,0,0
410,360,329,178,161,29,29,16,13,0,0,0,0
415,365,335,181,164,30,30,17,13,0,0,0,0
420,369,337,182,165,30,30,17,13,0,0,0,0
425,373,342,185,167,30,30,17,13,0,0,0,0
430,378,347,186,169,30,30,17,13,0,0,0,0
435,380,349,188,170,30,30,17,13,0,0,0,0
440,388,353,193,172,31,31,18,13,0,0,0,0
445,391,358,194,175,31,31,18,13,0,0,0,0
450,396,364,197,178,32,32,19,13,0,0,0,0
455,400,366,199,178,32,32,19,13,0,0,0,0
460,404,371,200,181,32,32,19,13,0,0,0,0
465,409,376,201,181,32,32,19,13,0,0,0,0
470,411,378,202,183,32,32,19,13,0,0,0,0
475,419,382,205,184,33,33,19,14,0,0,0,0
480,422,387,206,186,33,33,19,14,0,0,0,0
485,427,393,207,188,34,34,19,15,0,0,0,0
490,431,395,209,189,34,34,19,15,0,0,0,0
495,435,400,211,191,34,34,19,15,0,0,0,0
500,440,405,213,193,34,34,19,15,0,0,0,0
505,442,407,213,194,34,34,19,15,0,0,0,0
510,450,411,218,196,35,35,19,16,0,0,0,0
515,453,416,221,200,35,35,19,16,0,0,0,0
520,458,422,222,203,36,36,19,17,0,0,0,0
525,462,424,223,203,36,36,19,17,0,0,0,0
530,466,429,224,204,36,36,19,17,0,0,0,0
535,471,434,225,206,36,36,19,17,0,0,0,0
540,473,436,226,206,36,36,19,17,0,0,0,0
545,481,440,227,208,37,37,19,18,0,0,0,0
550,484,445,228,209,37,37,19,18,0,0,0,0
555,489,451,230,210,38,38,20,18,0,0,0,0
560,493,453,231,210,38,38,20,18,0,0,0,0
565,497,458,231,211,38,38,20,18,0,0,0,0
570,502,463,235,214,38,38,20,18,0,0,0,0
575,504,465,236,216,38,38,20,18,0,0,0,0
580,512,469,241,218,39,39,20,19,0,0,0,0
585,515,474,242,221,39,39,20,19,0,0,0,0
590,520,480,242,222,40,40,20,20,0,0,0,0
595,524,482,244,223,40,40,20,20,0,0,0,0
600,528,487,245,225,40,40,20,20,0,0,0,0
605,533,492,247,227,40,40,20,20,0,0,0,0
610,535,494,249,228,40,40,20,20,0,0,0,0
615,543,498,252,230,41,41,20,21,0,0,0,0
620,546,503,253,233,41,41,20,21,0,0,0,0
625,551,509,254,234,42,42,20,22,0,0,0,0
630,555,511,255,235,42,42,20,22,0,0,0,0
635,559,516,256,236,42,42,20,22,0,0,0,0
640,564,521,257,237,42,42,20,22,0,0,0,0
645,566,523,259,238,42,42,20,22,0,0,0,0
650,574,527,261,239,43,43,21,22,0,0,0,0
655,577,532,263,240,43,43,21,22,0,0,0,0
660,582,538,267,245,44,44,22,22,0,0,0,0
665,586,540,269,246,44,44,22,22,0,0,0,0
670,590,545,271,249,44,44,22,22,0,0,0,0
675,595,550,275,252,44,44,22,22,0,0,0,0
680,597,552,277,254,44,44,22,22,0,0,0,0
685,605,556,281,257,45,45,23,22,0,0,0,0
690,608,561,282,258,45,45,23,22,0,0,0,0
695,613,567,283,260,46,46,23,23,0,0,0,0
700,617,569,286,261,46,46,23,23,0,0,0,0
705,621,574,287,263,46,46,23,23,0,0,0,0
710,626,579,291,267,46,46,23,23,0,0,0,0
715,628,581,291,268,46,46,23,23,0,0,0,0
720,636,585,296,269,47,47,24,23,0,0,0,0
725,639,590,297,273,47,47,24,23,0,0,0,0
730,644,596,299,275,48,48,24,24,0,0,0,0
735,648,598,300,276,48,48,24,24,0,0,0,0
740,652,603,303,278,48,48,24,24,0,0,0,0
745,657,608,307,282,48,48,24,24,0,0,0,0
750,659,610,309,284,48,48,24,24,0,0,0,0
755,667,614,312,287,49,49,24,25,0,0,0,0
760,670,619,314,289,49,49,24,25,0,0,0,0
765,675,625,318,294,50,50,24,26,0,0,0,0
770,679,627,321,296,50,50,24,26,0,0,0,0
775,683,632,323,298,50,50,24,26,0,0,0,0
780,688,637,326,301,50,50,24,26,0,0,0,0
785,690,639,328,303,50,50,24,26,0,0,0,0
790,698,643,333,306,51,51,25,26,0,0,0,0
795,701,648,334,308,51,51,25,26,0,0,0,0
800,706,654,336,311,52,52,25,27,0,0,0,0
805,710,656,339,312,52,52,25,27,0,0,0,0
810,714,661,342,316,52,52,25,27,0,0,0,0
815,719,666,345,319,52,52,25,27,0,0,0,0
820,721,668,346,320,52,52,25,27,0,0,0,0
825,729,672,350,322,53,53,25,28,0,0,0,0
830,732,677,353,326,53,53,25,28,0,0,0,0
835,737,683,356,330,54,54,26,28,0,0,0,0
840,741,685,356,330,54,54,26,28,0,0,0,0
845,745,690,358,331,54,54,26,28,0,0,0,0
850,750,695,361,334,54,54,26,28,0,0,0,0
855,752,697,362,336,54,54,26,28,0,0,0,0
860,760,701,365,337,55,55,26,29,0,0,0,0
865,763,706,367,339,55,55,26,29,0,0,0,0
870,768,712,371,344,56,56,27,29,0,0,0,0
875,772,714,373,346,56,56,27,29,0,0,0,0
880,776,719,374,347,56,56,27,29,0,0,0,0
885,781,724,376,348,56,56,27,29,0,0,0,0
890,783,726,376,349,56,56,27,29,0,0,0,0
895,791,730,380,351,57,57,28,29,0,0,0,0
900,794,735,381,352,57,57,28,29,0,0,0,0
905,799,741,382,354,58,58,28,30,0,0,0,0
910,803,743,383,355,58,58,28,30,0,0,0,0
915,807,748,385,356,58,58,28,30,0,0,0,0
920,812,753,385,357,58,58,28,30,0,0,0,0
925,814,755,385,357,58,58,28,30,0,0,0,0
930,822,759,389,358,59,59,29,30,0,0,0,0
935,825,764,390,360,59,59,29,30,0,0,0,0
940,830,769,391,362,60,60,29,31,0,0,0,0
945,834,772,392,362,60,60,29,31,0,0,0,0
950,838,776,394,364,60,60,29,31,0,0,0,0
955,843,780,396,367,61,60,29,31,0,1,0,0
960,845,782,397,368,61,60,29,31,0,1,0,0
965,853,785,401,370,63,61,29,32,0,2,0,0
970,856,790,402,372,64,61,29,32,0,3,0,0
975,861,794,406,376,66,62,30,32,0,4,0,0
980,865,795,407,377,68,62,30,32,0,6,0,0
985,869,796,407,377,71,62,30,32,0,9,0,0
990,874,800,411,380,72,62,30,32,0,10,0,0
995,876,801,411,381,72,62,30,32,0,10,0,0
1000,884,804,417,384,76,63,31,32,0,13,0,0
1005,887,807,418,386,76,63,31,32,0,13,0,0
1010,892,809,419,388,81,64,31,33,0,17,0,0
1015,896,810,421,389,82,64,31,33,0,18,0,0
1020,900,812,423,391,85,64,31,33,0,21,0,0
1025,905,815,425,394,88,64,31,33,0,24,0,0
1030,907,816,427,395,88,64,31,33,0,24,0,0
1035,915,820,431,397,89,65,32,33,0,24,0,0
1040,918,823,432,399,91,65,32,33,0,26,0,0
1045,923,827,435,403,93,66,32,34,0,27,0,0
1050,927,829,437,405,94,66,32,34,0,28,0,0
1055,931,830,438,406,98,66,32,34,0,32,0,0
1060,936,832,441,408,100,66,32,34,0,34,0,0
1065,938,834,442,410,100,66,32,34,0,34,0,0
1070,946,837,446,412,103,67,33,34,0,36,0,0
1075,949,840,447,414,105,67,33,34,0,38,0,0
1080,954,843,450,417,107,68,33,35,0,39,0,0
1085,958,845,453,419,107,68,33,35,0,39,0,0
1090,962,848,456,422,109,68,33,35,0,41,0,0
1095,967,851,458,425,112,68,33,35,0,44,0,0
1100,969,852,460,426,112,68,33,35,0,44,0,0
1105,977,855,461,427,116,69,33,36,0,47,0,0
1110,980,857,461,428,118,69,33,36,0,49,0,0
1115,985,859,464,430,121,70,34,36,0,51,0,0
1120,989,860,467,431,122,70,34,36,0,52,0,0
1125,993,863,469,434,124,70,34,36,0,54,0,0
1130,998,866,471,437,126,70,34,36,0,56,0,0
1135,1000,867,472,438,126,70,34,36,0,56,0,0
1140,1008,870,478,441,129,71,35,36,0,58,0,0
1145,1011,874,478,443,130,71,35,36,0,59,0,0
1150,1016,876,481,445,133,72,36,36,0,61,0,0
1155,1020,877,482,446,135,72,36,36,0,63,0,0
1160,1024,879,484,448,138,72,36,36,0,66,0,0
1165,1029,881,486,450,140,72,36,36,0,68,0,0
1170,1031,882,488,451,140,72,36,36,0,68,0,0
1175,1039,886,492,453,141,73,37,36,0,68,0,0
1180,1042,889,493,455,143,73,37,36,0,70,0,0
1185,1047,892,495,458,147,74,37,37,0,73,0,0
1190,1051,893,497,459,149,74,37,37,0,75,0,0
1195,1055,895,498,461,152,74,37,37,0,78,0,0
1200,1060,898,502,464,152,74,37,37,0,78,0,0
1205,1062,900,504,466,152,74,37,37,0,78,0,0
1210,1070,903,509,469,154,75,37,38,0,79,0,0
1215,1073,906,510,472,156,75,37,38,0,81,0,0
1220,1078,909,512,475,160,76,37,39,0,84,0,0
1225,1082,911,515,477,160,76,37,39,0,84,0,0
1230,1086,912,515,478,165,76,37,39,0,89,0,0
1235,1091,912,516,478,168,76,37,39,0,92,0,0
1240,1093,913,517,479,168,76,37,39,0,92,0,0
1245,1101,916,520,482,172,77,38,39,0,95,0,0
1250,1104,917,523,483,174,77,38,39,0,97,0,0
1255,1109,921,524,486,176,78,38,40,0,98,0,0
1260,1113,922,526,487,178,78,38,40,0,100,0,0
1265,1117,925,529,490,179,78,38,40,0,101,0,0
1270,1122,930,533,495,180,78,38,40,0,102,0,0
1275,1124,931,535,496,180,78,38,40,0,102,0,0
1280,1132,935,539,499,181,79,38,41,0,102,0,0
1285,1135,938,542,502,183,79,38,41,0,104,0,0
1290,1140,943,545,507,185,80,38,42,0,105,0,0
1295,1144,944,548,508,186,80,38,42,0,106,0,0
1300,1148,947,549,511,189,80,38,42,0,109,0,0
1305,1153,949,551,513,191,80,38,42,0,111,0,0
1310,1155,949,551,513,191,80,38,42,0,111,0,0
1315,1163,952,556,515,193,81,39,42,0,112,0,0
1320,1166,956,559,518,194,81,39,42,0,113,0,0
1325,1171,961,562,523,195,82,39,43,0,113,0,0
1330,1175,963,565,525,195,82,39,43,0,113,0,0
1335,1179,964,566,526,199,82,39,43,0,117,0,0
1340,1184,966,568,528,202,82,39,43,0,120,0,0
1345,1186,967,569,529,202,82,39,43,0,120,0,0
1350,1194,971,571,531,203,83,39,44,0,120,0,0
1355,1197,974,573,533,206,83,39,44,0,123,0,0
1360,1202,976,575,535,209,84,40,44,0,125,0,0
1365,1206,977,578,536,210,84,40,44,0,126,0,0
1370,1210,980,579,539,213,84,40,44,0,129,0,0
1375,1215,982,582,541,214,84,40,44,0,130,0,0
1380,1217,983,583,542,214,84,40,44,0,130,0,0
1385,1225,987,585,544,217,85,40,45,0,132,0,0
1390,1228,989,587,546,218,85,40,45,0,133,0,0
1395,1233,993,591,550,221,86,41,45,0,135,0,0
1400,1237,993,591,550,224,86,41,45,0,138,0,0
1405,1241,995,593,552,227,86,41,45,0,141,0,0
1410,1246,996,594,553,230,86,41,45,0,144,0,0
1415,1248,997,595,554,230,86,41,45,0,144,0,0
1420,1256,1000,598,556,233,87,41,46,0,146,0,0
1425,1259,1003,600,558,235,87,41,46,0,148,0,0
1430,1264,1007,604,562,237,88,42,46,0,149,0,0
1435,1268,1008,606,563,239,88,42,46,0,151,0,0
1440,1272,1010,607,565,242,88,42,46,0,154,0,0
1445,1277,1012,610,567,244,88,42,46,0,156,0,0
1450,1279,1014,611,569,244,88,42,46,0,156,0,0
1455,1287,1017,615,571,246,89,43,46,0,157,0,0
1460,1290,1021,615,572,248,89,43,46,0,159,0,0
1465,1295,1023,617,574,252,90,43,47,0,162,0,0
1470,1299,1023,618,574,254,90,43,47,0,164,0,0
1475,1303,1025,619,576,258,90,43,47,0,168,0,0
1480,1308,1028,623,579,259,90,43,47,0,169,0,0
1485,1310,1030,624,581,259,90,43,47,0,169,0,0
1490,1318,1032,627,581,263,91,44,47,0,172,0,0
1495,1321,1034,628,583,266,91,44,47,0,175,0,0
1500,1326,1036,629,585,269,92,44,48,0,177,0,0
1505,1330,1036,630,585,271,92,44,48,0,179,0,0
1510,1334,1038,632,587,274,92,44,48,0,182,0,0
1515,1339,1041,634,590,277,92,44,48,0,185,0,0
1520,1341,1042,635,591,277,92,44,48,0,185,0,0
1525,1349,1044,639,591,281,93,45,48,0,188,0,0
1530,1352,1047,639,594,283,93,45,48,0,190,0,0
1535,1357,1051,644,598,285,94,46,48,0,191,0,0
1540,1361,1053,646,600,286,94,46,48,0,192,0,0
1545,1365,1055,649,602,288,94,46,48,0,194,0,0
1550,1370,1057,651,604,290,94,46,48,0,196,0,0
1555,1372,1059,653,606,290,94,46,48,0,196,0,0
1560,1380,1063,656,607,291,95,46,49,0,196,0,0
1565,1383,1067,658,610,292,95,46,49,0,197,0,0
1570,1388,1070,659,613,295,96,46,50,0,199,0,0
1575,1392,1072,661,615,296,96,46,50,0,200,0,0
1580,1396,1074,664,617,298,96,46,50,0,202,0,0
1585,1401,1076,666,619,300,96,46,50,0,204,0,0
1590,1403,1077,667,620,300,96,46,50,0,204,0,0
1595,1411,1081,671,624,303,97,47,50,0,206,0,0
1600,1414,1082,673,624,305,97,47,50,0,208,0,0
1605,1419,1086,676,628,307,98,48,50,0,209,0,0
1610,1423,1087,677,629,309,98,48,50,0,211,0,0
1615,1427,1088,679,630,312,98,48,50,0,214,0,0
1620,1432,1092,682,634,314,98,48,50,0,216,0,0
1625,1434,1092,683,634,314,98,48,50,0,216,0,0
1630,1442,1096,687,637,316,99,49,50,0,217,0,0
1635,1445,1099,688,638,317,99,49,50,0,218,0,0
1640,1450,1101,690,640,321,100,50,50,0,221,0,0
1645,1454,1102,691,641,323,100,50,50,0,223,0,0
1650,1458,1104,694,643,325,100,50,50,0,225,0,0
1655,1463,1108,697,647,327,100,50,50,0,227,0,0
1660,1465,1108,698,647,327,100,50,50,0,227,0,0
1665,1473,1111,701,650,331,101,51,50,0,230,0,0
1670,1476,1111,701,650,334,101,51,50,0,233,0,0
1675,1481,1113,702,651,338,102,51,51,0,236,0,0
1680,1485,1114,705,652,339,102,51,51,0,237,0,0
1685,1489,1118,707,656,341,102,51,51,0,239,0,0
1690,1494,1121,711,659,342,102,51,51,0,240,0,0
1695,1496,1123,713,661,342,102,51,51,0,240,0,0
1700,1504,1127,717,663,344,103,52,51,0,241,0,0
1705,1507,1131,720,666,344,103,52,51,0,241,0,0
1710,1512,1136,724,671,346,104,53,51,0,242,0,0
1715,1516,1137,726,672,348,104,53,51,0,244,0,0
1720,1520,1138,726,673,352,104,53,51,0,248,0,0
1725,1525,1139,727,674,355,104,53,51,0,251,0,0
1730,1527,1140,729,675,355,104,53,51,0,251,0,0
1735,1535,1143,732,678,357,105,53,52,0,252,0,0
1740,1538,1147,735,680,358,105,53,52,0,253,0,0
1745,1543,1151,737,684,360,106,53,53,0,254,0,0
1750,1547,1153,739,686,361,106,53,53,0,255,0,0
1755,1551,1155,742,688,363,106,53,53,0,257,0,0
1760,1556,1157,743,690,366,106,53,53,0,260,0,0
1765,1558,1157,743,690,366,106,53,53,0,260,0,0
1770,1566,1160,747,693,370,107,53,54,0,263,0,0
1775,1569,1162,750,695,371,107,53,54,0,264,0,0
1780,1574,1165,751,698,374,108,53,55,0,266,0,0
1785,1578,1165,752,698,377,108,53,55,0,269,0,0
1790,1582,1166,752,699,381,108,53,55,0,273,0,0
1795,1587,1168,755,701,383,108,53,55,0,275,0,0
1800,1589,1169,756,702,383,108,53,55,0,275,0,0
1805,1597,1172,760,704,385,109,54,55,0,276,0,0
1810,1600,1176,762,707,386,109,54,55,0,277,0,0
1815,1605,1179,765,710,389,110,55,55,0,279,0,0
1820,1609,1180,766,711,391,110,55,55,0,281,0,0
1825,1613,1180,766,711,396,110,55,55,0,286,0,0
1830,1618,1184,770,714,397,110,55,55,0,287,0,0
1835,1620,1190,771,715,397,110,55,55,0,287,0,0
1840,1628,1199,774,718,399,111,55,56,0,288,0,0
1845,1631,1205,777,720,401,111,55,56,0,290,0,0
1850,1636,1209,777,722,404,112,55,57,0,292,0,0
1855,1640,1211,780,724,405,112,55,57,0,293,0,0
1860,1644,1214,783,727,406,112,55,57,0,294,0,0
1865,1649,1217,785,730,409,112,55,57,0,297,0,0
1870,1651,1217,786,730,409,112,55,57,0,297,0,0
1875,1659,1221,792,733,410,113,56,57,0,297,0,0
1880,1662,1225,793,737,412,113,56,57,0,299,0,0
1885,1667,1228,796,739,415,114,57,57,0,301,0,0
1890,1671,1229,797,740,417,114,57,57,0,303,0,0
1895,1675,1232,801,743,418,114,57,57,0,304,0,0
1900,1680,1235,803,746,420,114,57,57,0,306,0,0
1905,1682,1236,805,747,420,114,57,57,0,306,0,0
1910,1690,1240,809,750,422,115,58,57,0,307,0,0
1915,1693,1242,809,751,425,115,58,57,0,310,0,0
1920,1698,1246,811,753,427,116,58,58,0,311,0,0
1925,1702,1248,813,755,428,116,58,58,0,312,0,0
1930,1706,1248,813,755,433,116,58,58,0,317,0,0
1935,1711,1251,817,758,434,116,58,58,0,318,0,0
1940,1713,1252,818,759,434,116,58,58,0,318,0,0
1945,1721,1256,822,762,436,117,59,58,0,319,0,0
1950,1724,1259,824,763,437,117,59,58,0,320,0,0
1955,1729,1263,826,766,440,118,60,58,0,322,0,0
1960,1733,1263,827,766,443,118,60,58,0,325,0,0
1965,1737,1266,830,769,444,118,60,58,0,326,0,0
1970,1742,1269,832,772,446,118,60,58,0,328,0,0
1975,1744,1269,833,772,446,118,60,58,0,328,0,0
1980,1752,1273,838,774,447,119,61,58,0,328,0,0
1985,1755,1277,838,777,449,119,61,58,0,330,0,0
1990,1760,1282,840,779,450,120,61,59,0,330,0,0
1995,1764,1284,843,781,451,120,61,59,0,331,0,0
2000,1768,1285,843,782,455,120,61,59,0,335,0,0
2005,1773,1286,844,783,459,120,61,59,0,339,0,0
2010,1775,1286,844,783,459,120,61,59,0,339,0,0
2015,1783,1293,846,784,462,121,61,60,0,341,0,0
2020,1786,1308,846,785,462,121,61,60,0,341,0,0
2025,1791,1324,849,788,463,122,61,61,0,341,0,0
2030,1795,1330,853,790,463,122,61,61,0,341,0,0
2035,1799,1335,854,793,463,122,61,61,0,341,0,0
2040,1804,1340,857,795,463,122,61,61,0,341,0,0
2045,1806,1342,858,796,463,122,61,61,0,341,0,0
2050,1814,1346,860,799,464,123,61,62,0,341,0,0
2055,1817,1351,863,800,464,123,61,62,0,341,0,0
2060,1822,1357,867,805,465,124,62,62,0,341,0,0
2065,1826,1359,870,807,465,124,62,62,0,341,0,0
2070,1830,1364,872,809,465,124,62,62,0,341,0,0
2075,1835,1369,874,812,465,124,62,62,0,341,0,0
2080,1837,1371,875,813,465,124,62,62,0,341,0,0
2085,1845,1375,876,813,466,125,62,63,0,341,0,0
2090,1848,1380,878,814,466,125,62,63,0,341,0,0
2095,1853,1386,881,818,467,126,63,63,0,341,0,0
2100,1857,1388,884,820,467,126,63,63,0,341,0,0
2105,1861,1393,886,823,467,126,63,63,0,341,0,0
2110,1866,1398,889,825,467,126,63,63,0,341,0,0
2115,1868,1400,890,827,467,126,63,63,0,341,0,0
2120,1876,1404,895,830,468,127,64,63,0,341,0,0
2125,1879,1409,895,831,468,127,64,63,0,341,0,0
2130,1884,1415,897,832,469,128,65,63,0,341,0,0
2135,1888,1417,899,832,469,128,65,63,0,341,0,0
2140,1892,1422,900,835,469,128,65,63,0,341,0,0
2145,1897,1427,903,837,469,128,65,63,0,341,0,0
2150,1899,1429,904,838,469,128,65,63,0,341,0,0
2155,1907,1433,911,842,470,129,66,63,0,341,0,0
2160,1910,1438,913,846,470,129,66,63,0,341,0,0
2165,1915,1444,915,849,471,130,66,64,0,341,0,0
2170,1919,1446,918,851,471,130,66,64,0,341,0,0
2175,1923,1451,922,855,471,130,66,64,0,341,0,0
2180,1928,1456,926,859,471,130,66,64,0,341,0,0
2185,1930,1458,926,860,471,130,66,64,0,341,0,0
2190,1938,1462,929,861,472,131,67,64,0,341,0,0
2195,1941,1467,931,863,472,131,67,64,0,341,0,0
2200,1946,1473,935,867,473,132,68,64,0,341,0,0
2205,1950,1475,936,868,473,132,68,64,0,341,0,0
2210,1954,1480,937,869,473,132,68,64,0,341,0,0
2215,1959,1485,940,872,473,132,68,64,0,341,0,0
2220,1961,1487,941,873,473,132,68,64,0,341,0,0
2225,1969,1491,946,874,474,133,69,64,0,341,0,0
2230,1972,1496,947,877,474,133,69,64,0,341,0,0
2235,1977,1502,951,881,475,134,70,64,0,341,0,0
2240,1981,1504,951,881,475,134,70,64,0,341,0,0
2245,1985,1509,951,881,475,134,70,64,0,341,0,0
2250,1990,1514,953,883,475,134,70,64,0,341,0,0
2255,1992,1516,953,883,475,134,70,64,0,341,0,0
2260,2000,1520,956,884,476,135,70,65,0,341,0,0
2265,2003,1525,957,886,476,135,70,65,0,341,0,0
2270,2008,1531,959,889,477,136,70,66,0,341,0,0
2275,2012,1533,959,889,477,136,70,66,0,341,0,0
2280,2016,1538,962,891,477,136,70,66,0,341,0,0
2285,2021,1543,964,893,477,136,70,66,0,341,0,0
2290,2023,1545,966,895,477,136,70,66,0,341,0,0
2295,2031,1549,972,899,478,137,70,67,0,341,0,0
2300,2034,1554,972,902,478,137,70,67,0,341,0,0
2305,2039,1560,975,904,479,138,71,67,0,341,0,0
2310,2043,1562,978,905,479,138,71,67,0,341,0,0
2315,2047,1567,981,909,479,138,71,67,0,341,0,0
2320,2052,1572,983,912,479,138,71,67,0,341,0,0
2325,2054,1574,985,913,479,138,71,67,0,341,0,0
2330,2062,1578,989,915,480,139,72,67,0,341,0,0
2335,2065,1583,991,917,480,139,72,67,0,341,0,0
2340,2070,1589,994,922,481,140,72,68,0,341,0,0
2345,2074,1591,994,922,481,140,72,68,0,341,0,0
2350,2078,1596,995,922,481,140,72,68,0,341,0,0
2355,2083,1601,999,926,481,140,72,68,0,341,0,0
2360,2085,1603,1000,928,481,140,72,68,0,341,0,0
2365,2093,1607,1006,930,482,141,72,69,0,341,0,0
2370,2096,1612,1009,935,482,141,72,69,0,341,0,0
2375,2101,1617,1012,939,483,142,73,69,0,341,0,0
2380,2105,1619,1014,940,483,142,73,69,0,341,0,0
2385,2109,1624,1015,942,484,142,73,69,0,342,0,0
2390,2114,1626,1016,943,487,142,73,69,0,345,0,0
2395,2116,1626,1016,943,487,142,73,69,0,345,0,0
2400,2124,1629,1022,946,490,143,74,69,0,347,0,0
2405,2127,1632,1024,949,491,143,74,69,0,348,0,0
2410,2132,1634,1026,951,495,144,75,69,0,351,0,0
2415,2136,1634,1026,951,497,144,75,69,0,353,0,0
2420,2140,1636,1028,953,501,144,75,69,0,357,0,0
2425,2145,1638,1030,955,503,144,75,69,0,359,0,0
2430,2147,1639,1032,956,503,144,75,69,0,359,0,0
2435,2155,1641,1034,958,508,145,76,69,0,363,0,0
2440,2158,1642,1036,959,511,145,76,69,0,366,0,0
2445,2163,1645,1038,962,513,146,76,70,0,367,0,0
2450,2167,1647,1042,964,513,146,76,70,0,367,0,0
2455,2171,1650,1044,967,515,146,76,70,0,369,0,0
2460,2176,1654,1048,971,516,146,76,70,0,370,0,0
2465,2178,1656,1049,973,516,146,76,70,0,370,0,0
2470,2186,1656,1051,973,522,147,77,70,0,375,0,0
2475,2189,1657,1051,974,525,147,77,70,0,378,0,0
2480,2194,1661,1055,978,527,148,77,71,0,379,0,0
2485,2198,1663,1059,980,527,148,77,71,0,379,0,0
2490,2202,1667,1061,984,529,148,77,71,0,381,0,0
2495,2207,1670,1065,987,530,148,77,71,0,382,0,0
2500,2209,1671,1065,988,530,148,77,71,0,382,0,0
2505,2217,1672,1069,989,534,149,78,71,0,385,0,0
